‚(å¹),»åæ°æ¥,ç¤¦æ¥­³æ¡åæ¥,\ æ¥,¨æ°´ä¾æ±¡æ´æ²»æ¥,è£½é\ æ¥
62,4331,2964,2558,NA,2179
63,6337,4528,3700,NA,2918
64,7564,5131,4341,NA,3424
65,8119,6200,4941,NA,4041
66,9316,6684,5679,NA,4859
67,10389,7683,6228,NA,5416
68,13044,9127,6994,NA,6549
69,14944,11549,8309,9103,8034
70,19157,14751,10764,10800,9555
71,20612,15198,11415,12191,10455
72,21678,14822,12718,12678,11121
73,25503,15773,14122,13102,12151
74,29007,16322,14763,13977,12677
75,28998,17181,15037,15356,13960
76,30242,17863,16045,15752,15333
77,34495,19762,17879,20688,16987
78,42612,21689,21433,23022,19429
79,47466,26522,24719,28249,22011
80,58395,28671,28193,29915,24426
81,60937,31937,30825,31017,26938
82,64897,32875,33638,33927,28822
83,69330,33887,34379,38065,30748
84,71940,35633,35278,39072,32489
85,79953,37354,35817,39304,33833
86,80437,38545,37029,40281,35402
87,88192,40083,37886,41708,36431
88,91265,41432,38070,44729,37738
89,91805,43067,38897,44341,38914
90,97399,44069,37746,46002,38412
91,93466,44804,36844,43917,38435
92,95191,47720,37214,43954,39549
93,94525,46307,37916,42880,40657
94,91184,47671,38450,47647,41858
95,97230,53344,39168,47251,42393
96,98519,50949,40310,44399,43178
97,89432,51333,40754,44521,43121
98,96285,49448,40870,44042,39125
99,96523,52551,41598,45106,42300
100,95382,53978,42716,45828,43316
101,92869,52751,42683,43680,43689
102,88873,54871,42540,44118,43829
103,94022,54579,43251,44814,45207
104,96444,53886,43346,44183,46781
105,94292,52398,42839,42843,47258
106,94551,56302,42506,43744,48660
