"No.","Player","Pos","Ht","Wt","Birth Date","Country","Exp","College","Age","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS/G","Salary"
11,"Klay Thompson","SG","6-7",215,"February 8, 1990","us","7","Washington State University",28,27,27,34.5,9,19.6,0.457,2.8,7.9,0.354,6.2,11.7,0.527,0.528,1.9,2.4,0.797,0.3,3.8,4.1,1.9,1,0.7,2,2,22.6,"$18,988,725"
23,"Draymond Green","PF","6-7",230,"March 4, 1990","us","6","Michigan State University",28,13,13,30.5,2.8,6.2,0.444,0.5,2.1,0.222,2.3,4.2,0.556,0.481,0.9,1.4,0.667,0.8,6.7,7.5,7.2,1.8,0.8,3.3,3.1,6.9,"$17,469,565"
15,"Damian Jones","C","7-0",245,"June 30, 1995","us","2","Vanderbilt University",23,24,22,17.1,2.2,3.1,0.716,0,0,NA,2.2,3.1,0.716,0.716,1,1.5,0.649,1.3,1.8,3.1,1.2,0.5,1,0.7,2.6,5.4,"$1,544,951"
2,"Jordan Bell","C","6-9",224,"January 7, 1995","us","1","University of Oregon",24,26,1,12.7,1.1,2.1,0.527,0,0,0,1.1,2.1,0.537,0.527,0.5,0.7,0.706,0.8,2,2.7,1.3,0.5,0.9,0.5,1.5,2.7,"$1,378,252"
30,"Stephen Curry","PG","6-3",190,"March 14, 1988","us","9","Davidson College",30,16,16,33.4,10,19.5,0.513,5.3,10.5,0.5,4.8,9,0.528,0.647,4.3,4.6,0.932,0.4,4.7,5.1,5.8,1.1,0.3,3.2,2.5,29.6,"$37,457,154"
9,"Andre Iguodala","SF","6-6",215,"January 28, 1984","us","14","University of Arizona",35,25,11,23.4,1.8,4,0.46,0.6,1.7,0.333,1.3,2.3,0.552,0.53,0.6,1,0.625,0.7,2.5,3.2,3,0.8,0.6,1,1.4,4.8,"$16,000,000"
34,"Shaun Livingston","PG","6-7",192,"September 11, 1985","us","13","",33,18,0,16.6,1.9,4.2,0.453,0,0.1,0,1.9,4.1,0.459,0.453,1.1,1.3,0.792,0.9,1.1,2,2.3,0.7,0.6,0.7,1.2,4.8,"$8,307,692"
4,"Quinn Cook","PG","6-2",179,"March 23, 1993","us","2","Duke University",25,24,8,18.8,3.6,7.6,0.47,1.5,3.4,0.444,2.1,4.3,0.49,0.568,0.4,0.5,0.833,0.3,2.3,2.7,2,0.5,0.1,1,1.7,9.1,"$1,544,951"
10,"Jacob Evans","SG","6-6",210,"June 18, 1997","us","R","University of Cincinnati",21,17,0,4.5,0.2,0.9,0.188,0.1,0.2,0.25,0.1,0.7,0.167,0.219,0,0,NA,0.1,0.4,0.4,0.6,0.1,0.1,0.2,0.6,0.4,"$1,644,240"
NA,"DeMarcus Cousins","C-F","6-11",270,"August 13, 1990","us","8","University of Kentucky",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$5,337,000"
35,"Kevin Durant","PF","6-9",240,"September 29, 1988","us","11","University of Texas at Austin",30,27,27,35.8,10.1,19.9,0.511,1.6,4.7,0.333,8.6,15.2,0.566,0.55,7.2,7.8,0.929,0.4,7.4,7.8,6.3,0.9,1.1,3.5,2.1,29.1,"$30,000,000"
5,"Kevon Looney","C","6-9",220,"February 6, 1996","us","3","University of California, Los Angeles",22,27,5,19.9,2.6,4.1,0.625,0,0.1,0,2.6,4,0.642,0.625,1,1.6,0.636,2.4,2.9,5.3,1.9,0.3,0.8,0.8,2.7,6.2,"$1,567,007"
21,"Jonas Jerebko","PF","6-10",231,"March 2, 1987","se","8","",31,27,5,20,2.6,5.4,0.483,1.1,2.9,0.385,1.5,2.5,0.597,0.586,1.1,1.2,0.879,1.4,4.1,5.5,1.7,0.4,0.2,0.8,2.6,7.4,"$2,165,481"
1,"Damion Lee  (TW)","SG","6-6",210,"October 21, 1992","us","1","Drexel University, University of Louisville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Marcus Derrickson  (TW)","SF","6-7",249,"February 1, 1996","us","R","Georgetown University",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"Alfonzo McKinnie","SF","6-8",215,"September 17, 1992","us","1","University of Wisconsin-Green Bay",26,18,0,15.6,2.4,4.9,0.494,1,2.2,0.462,1.4,2.8,0.52,0.596,0.4,0.8,0.571,1.2,2.7,3.8,0.5,0.2,0.2,0.4,1.9,6.3,"$1,349,383"
