中文名稱,英文名稱,近臺強度,最低氣壓(hPa),近臺,最大風速(m/s),7級風暴風半徑(km),10級風暴風半徑(km),發布警報時間,解除警報時間
山竹,MANGKHUT,強烈,895,60,320,120,12,2018-09-14 11:30,2018-09-15 20:30
瑪莉亞,MARIA,強烈,915,55,280,100,17,2018-07-09 14:30,2018-07-11 14:30
泰利,TALIM,中度,935,48,250,80,19,2017-09-12 14:30,2017-09-14 20:30
谷超,GUCHOL,輕度,998,18,80,---,7,2017-09-06 10:30,2017-09-07 02:30
天鴿,HATO,中度,965,33,180,50,15,2017-08-20 23:30,2017-08-22 17:30
海棠,HAITANG,輕度,990,20,100,---,14,2017-07-29 17:30,2017-07-31 08:30
尼莎,NESAT,中度,955,40,180,60,19,2017-07-28 08:30,2017-07-30 14:30
艾利,AERE,輕度,998,18,120,---,10,2016-10-05 11:30,2016-10-06 14:30
梅姬,MEGI,中度,940,45,250,100,23,2016-09-25 23:30,2016-09-28 17:30
馬勒卡,MALAKAS,中度,940,45,180,60,20,2016-09-15 23:30,2016-09-18 08:30
莫蘭蒂,MERANTI,強烈,900,60,220,80,21,2016-09-12 23:30,2016-09-15 11:30
尼伯特,NEPARTAK,強烈,905,58,200,80,25,2016-07-06 14:30,2016-07-09 14:30
杜鵑,DUJUAN,強烈,925,51,220,80,20,2015-09-27 08:30,2015-09-29 17:30
天鵝,GONI,強烈,925,51,200,80,26,2015-08-20 17:30,2015-08-23 20:30
蘇迪勒,SOUDELOR,中度,930,48,300,100,24,2015-08-06 11:30,2015-08-09 08:30
蓮花,LINFA,輕度,975,30,120,30,24,2015-07-06 08:30,2015-07-09 05:30
昌鴻,CHAN-HOM,中度,935,48,280,100,19,2015-07-09 05:30,2015-07-11 11:30
紅霞,NOUL,強烈,925,51,200,80,13,2015-05-10 08:30,2015-05-11 20:30
鳳凰,FUNG-WONG,輕度,985,25,150,---,25,2014-09-19 08:30,2014-09-22 08:30
麥德姆,MATMO,中度,960,38,200,80,19,2014-07-21 17:30,2014-07-23 23:30
哈吉貝,HAGIBIS,輕度,992,20,100,---,7,2014-06-14 23:30,2014-06-15 17:30
菲特,FITOW,中度,960,38,250,80,20,2013-10-04 23:30,2013-10-07 08:30
天兔,USAGI,強烈,910,55,280,120,22,2013-09-19 23:30,2013-09-22 14:30
康芮,KONG-REY,輕度,985,25,120,---,20,2013-08-27 11:30,2013-08-29 20:30
潭美,TRAMI,輕度,970,30,180,50,16,2013-08-20 11:30,2013-08-22 08:30
西馬隆,CIMARON,輕度,998,18,100,---,10,2013-07-17 10:30,2013-07-18 11:30
蘇力,SOULIK,強烈,925,51,280,100,22,2013-07-11 08:30,2013-07-13 23:30
杰拉華,JELAWAT,強烈,910,55,250,100,15,2012-09-27 02:30,2012-09-28 20:30
天秤,TEMBIN,中度,945,45,180,50,33,2012-08-21 14:30,2012-08-25 14:30
天秤,TEMBIN,中度,945,35,180,50,21,2012-08-26 11:30,2012-08-28 23:30
啟德,KAI-TAK,輕度,995,20,150,---,10,2012-08-14 14:30,2012-08-15 17:30
海葵,HAIKUI,中度,960,35,180,50,11,2012-08-06 11:30,2012-08-07 17:30
蘇拉,SAOLA,中度,960,38,220,80,31,2012-07-30 20:30,2012-08-03 14:30
杜蘇芮,DOKSURI,輕度,995,23,120,---,10,2012-06-28 05:30,2012-06-29 08:30
泰利,TALIM,輕度,985,25,150,---,17,2012-06-19 05:30,2012-06-21 05:30
南瑪都,NANMADOL,強烈,920,53,180,50,34,2011-08-27 05:30,2011-08-31 08:30
梅花,MUIFA,中度,928,43,280,100,15,2011-08-04 17:30,2011-08-06 11:30
米雷,MEARI,輕度,982,28,200,---,14,2011-06-23 23:30,2011-06-25 14:30
桑達,SONGDA,強烈,920,55,200,100,13,2011-05-27 02:30,2011-05-28 14:30
艾利,AERE,輕度,990,23,150,---,13,2011-05-09 05:30,2011-05-10 17:30
梅姬,MEGI,中度,935,48,250,100,24,2010-10-21 02:30,2010-10-23 23:30
凡那比,FANAPI,中度,940,45,200,80,22,2010-09-17 23:30,2010-09-20 14:30
莫蘭蒂,MERANTI,輕度,990,23,100,---,10,2010-09-09 10:00,2010-09-10 11:30
南修,NAMTHEUN,輕度,995,18,80,---,9,2010-08-30 22:30,2010-08-31 20:30
萊羅克,LIONROCK,輕度,990,23,100,---,15,2010-08-31 20:30,2010-09-02 14:30
芭瑪,PARMA,中度,920,43,250,80,29,2009-10-03 05:30,2009-10-06 17:30
莫拉克,MORAKOT,中度,955,40,250,100,36,2009-08-05 20:30,2009-08-10 05:30
莫拉菲,MOLAVE,輕度,978,28,100,---,13,2009-07-16 22:00,2009-07-18 08:30
蓮花,LINFA,輕度,980,28,150,---,21,2009-06-19 20:30,2009-06-22 08:30
薔蜜,JANGMI,強烈,925,53,280,100,25,2008-09-26 23:30,2008-09-29 23:30
哈格比,HAGUPIT,中度,940,45,280,100,15,2008-09-21 14:30,2008-09-23 08:30
辛樂克,SINLAKU,強烈,925,51,250,100,43,2008-09-11 08:30,2008-09-16 14:30
如麗,NURI,中度,955,40,220,80,16,2008-08-19 11:30,2008-08-21 08:30
鳳凰,FUNG-WONG,中度,948,43,220,80,25,2008-07-26 11:30,2008-07-29 11:30
卡玫基,KALMAEGI,中度,970,33,120,50,20,2008-07-16 14:30,2008-07-18 23:30
米塔,MITAG,中度,955,35,200,80,11,2007-11-26 05:30,2007-11-27 11:30
柯羅莎,KROSA,強烈,925,51,300,120,27,2007-10-04 17:30,2007-10-07 23:30
韋帕,WIPHA,中度,935,48,200,80,18,2007-09-17 05:30,2007-09-19 08:30
聖帕,SEPAT,強烈,920,53,250,100,27,2007-08-16 08:30,2007-08-19 14:30
梧提,WUTIP,輕度,992,18,100,---,9,2007-08-08 11:30,2007-08-09 11:30
帕布,PABUK,輕度,980,28,150,---,14,2007-08-06 23:30,2007-08-08 14:30
珊珊,SHANSHAN,中度,945,48,200,80,17,2006-09-14 14:30,2006-09-16 14:30
寶發,BOPHA,輕度,985,23,120,---,15,2006-08-07 20:30,2006-08-09 14:30
桑美,SAOMAI,中度,935,48,180,80,16,2006-08-09 02:30,2006-08-10 23:30
