排名,片名,類型,片長,年份
1,The Greatest Showman,Biography,105,2017
2,It,Drama,135,2017
3,Coco,Animation,105,2017
4,The Shape of Water,Adventure,123,2017
5,Thor: Ragnarok,Action,130,2017
6,Fantastic Beasts and Where to Find Them,Adventure,133,2016
7,Wonder,Drama,113,2017
8,Papillon,Crime,133,2017
9,Blade Runner 2049,Drama,164,2017
10,Interstellar,Adventure,169,2014
11,Get Out,Horror,104,2017
12,Split,Horror,117,2016
13,Star Wars: Episode VIII - The Last Jedi,Action,152,2017
14,Spider-Man: Homecoming,Action,133,2017
15,Jumanji: Welcome to the Jungle,Action,119,2017
16,Call Me by Your Name,Drama,132,2017
17,Wonder Woman,Action,141,2017
18,"Three Billboards Outside Ebbing, Missouri",Comedy,115,2017
19,Baby Driver,Action,112,2017
20,Guardians of the Galaxy,Action,121,2014
21,Sing,Animation,108,2016
22,Sicario,Action,121,2015
23,Deadpool,Action,108,2016
24,Mad Max: Fury Road,Action,120,2015
25,X-Men: Apocalypse,Action,144,2016
26,10 Cloverfield Lane,Drama,103,2016
27,La La Land,Comedy,128,2016
28,Dunkirk,Action,106,2017
29,Beauty and the Beast,Family,129,2017
30,"I, Tonya",Biography,120,2017
31,Guardians of the Galaxy Vol. 2,Action,136,2017
32,Hostiles,Adventure,134,2017
33,Passengers,Drama,116,2016
34,Gone Girl,Crime,149,2014
35,Nocturnal Animals,Crime,116,2016
36,Logan,Action,137,2017
37,Moana,Animation,107,2016
38,Wind River,Crime,107,2017
39,Lady Bird,Comedy,94,2017
40,Phantom Thread,Drama,130,2017
41,The Revenant,Action,156,2015
42,The Hateful Eight,Crime,187,2015
43,Whiplash,Drama,106,2014
44,Don't Breathe,Crime,88,2016
45,Ant-Man,Action,117,2015
46,The Wife,Drama,100,2017
47,Jurassic World,Action,124,2015
48,The Grand Budapest Hotel,Adventure,99,2014
49,John Wick,Action,101,2014
50,Arrival,Drama,116,2016
51,Kingsman: The Secret Service,Action,129,2014
52,Darkest Hour,Biography,125,2017
53,Avengers: Age of Ultron,Action,141,2015
54,Me Before You,Drama,106,2016
55,Doctor Strange,Action,115,2016
56,Star Wars: Episode VII - The Force Awakens,Action,136,2015
57,Captain America: Civil War,Action,147,2016
58,The Conjuring 2,Horror,134,2016
59,Ex Machina,Drama,108,2014
60,Rogue One,Action,133,2016
61,Maleficent,Action,97,2014
62,Molly's Game,Biography,140,2017
63,Hacksaw Ridge,Biography,139,2016
64,The Post,Biography,116,2017
65,The Killing of a Sacred Deer,Drama,121,2017
66,Bodied,Comedy,120,2017
67,John Wick: Chapter 2,Action,122,2017
68,Edge of Tomorrow,Action,113,2014
69,The Foreigner,Action,113,2017
70,Room,Drama,118,2015
71,The Disaster Artist,Biography,104,2017
72,13 Hours,Action,144,2016
73,Star Trek: Beyond,Action,122,2016
74,Only the Brave,Biography,134,2017
75,Moonlight,Drama,111,2016
76,The Martian,Adventure,144,2015
77,The Death of Stalin,Comedy,107,2017
78,X-Men: Days of Future Past,Action,132,2014
79,Captain Fantastic,Comedy,118,2016
80,War Dogs,Comedy,114,2016
81,Logan Lucky,Comedy,118,2017
82,American Sniper,Action,133,2014
83,Kimi no na wa.,Animation,106,2016
84,Zootopia,Animation,108,2016
85,What We Do in the Shadows,Comedy,86,2014
86,American Made,Action,115,2017
87,Spotlight,Crime,129,2015
88,Furious Seven,Action,137,2015
89,Inside Out,Animation,95,2015
90,The Big Short,Biography,130,2015
91,Mission: Impossible - Rogue Nation,Action,131,2015
92,Gifted,Drama,101,2017
93,Hell or High Water,Action,102,2016
94,First Reformed,Drama,113,2017
95,The Imitation Game,Biography,114,2014
96,Creed,Drama,133,2015
97,The Equalizer,Action,132,2014
98,Manchester by the Sea,Drama,137,2016
99,Captain America: The Winter Soldier,Action,136,2014
100,Legend,Biography,132,2015
101,Busanhaeng,Action,118,2016
102,The Man from U.N.C.L.E.,Action,116,2015
103,Stronger,Biography,119,2017
104,Contratiempo,Crime,106,2016
105,Hidden Figures,Biography,127,2016
106,The Danish Girl,Biography,119,2015
107,Ah-ga-ssi,Drama,144,2016
108,Fury,Action,134,2014
109,Nightcrawler,Crime,117,2014
110,The Age of Adaline,Drama,112,2015
111,The Theory of Everything,Biography,123,2014
112,The Accountant,Action,128,2016
113,Birdman or (The Unexpected Virtue of Ignorance),Comedy,119,2014
114,The Lobster,Comedy,119,2015
115,Sully,Biography,96,2016
116,Serbuan maut 2: Berandal,Action,150,2014
117,The Nice Guys,Action,116,2016
118,Der Hauptmann,Drama,118,2017
119,War for the Planet of the Apes,Action,140,2017
120,Bone Tomahawk,Adventure,132,2015
121,Goodbye Christopher Robin,Biography,107,2017
122,Green Room,Horror,95,2015
123,The Fault in Our Stars,Drama,126,2014
124,Lion,Biography,118,2016
125,Snowden,Biography,134,2016
126,The Hobbit: The Battle of the Five Armies,Adventure,144,2014
127,The Florida Project,Drama,111,2017
128,Brawl in Cell Block 99,Crime,132,2017
129,Everest,Action,121,2015
130,Spy,Action,119,2015
131,Silence,Adventure,161,2016
132,The Jungle Book,Adventure,106,2016
133,Big Hero 6,Animation,102,2014
134,Shot Caller,Crime,121,2017
135,The Big Sick,Comedy,120,2017
136,Carol,Drama,118,2015
137,Okja,Action,120,2017
138,Allied,Action,124,2016
139,Paddington 2,Animation,103,2017
140,The Drop,Crime,106,2014
141,The Glass Castle,Biography,127,2017
142,Good Time,Crime,101,2017
143,Boyhood,Drama,165,2014
144,Grave,Drama,99,2016
145,The Gift,Drama,108,2015
146,Southpaw,Drama,124,2015
147,Thelma,Drama,116,2017
148,Professor Marston and the Wonder Women,Biography,108,2017
149,Deepwater Horizon,Action,107,2016
150,Den 12. mann,Drama,135,2017
151,Predestination,Drama,97,2014
152,How to Train Your Dragon 2,Animation,102,2014
153,The Edge of Seventeen,Comedy,104,2016
154,The Book of Life,Animation,95,2014
155,Hunt for the Wilderpeople,Adventure,101,2016
156,Patriots Day,Action,133,2016
157,Chef,Adventure,114,2014
158,Shengming zhong zui zhua kuang de xiaoshi,Comedy,122,2014
159,Mudbound,Drama,134,2017
160,"Love, Rosie",Comedy,102,2014
161,A Dog's Purpose,Adventure,100,2017
162,Breathe,Biography,118,2017
163,Wild,Adventure,115,2014
164,Fences,Drama,139,2016
165,The Square,Comedy,151,2017
166,The Founder,Biography,115,2016
167,Loving Vincent,Animation,94,2017
168,Straight Outta Compton,Biography,147,2015
169,The Lego Batman Movie,Animation,104,2017
170,Swiss Army Man,Adventure,97,2016
171,Brimstone,Drama,148,2016
172,Detroit,Crime,143,2017
173,22 Jump Street,Action,112,2014
174,Gok-seong,Horror,156,2016
175,Brooklyn,Drama,117,2015
176,Dangal,Action,161,2016
177,Bridge of Spies,Drama,142,2015
178,The Intern,Comedy,121,2015
179,The Light Between Oceans,Drama,133,2016
180,Unbroken,Biography,137,2014
181,T2 Trainspotting,Drama,117,2017
182,Borg McEnroe,Biography,107,2017
183,Youth,Comedy,124,2015
184,Finding Dory,Animation,97,2016
185,Foxcatcher,Biography,134,2014
186,The Lego Movie,Animation,100,2014
187,Miss Sloane,Drama,132,2016
188,PK,Comedy,153,2014
189,The Meyerowitz Stories (New and Selected),Comedy,112,2017
190,American Honey,Adventure,163,2016
191,Paddington,Adventure,95,2014
192,Anthropoid,Biography,120,2016
193,Marshall,Biography,118,2017
194,Everybody Wants Some!!,Comedy,117,2016
195,Aus dem Nichts,Crime,106,2017
196,Me and Earl and the Dying Girl,Comedy,105,2015
197,Dawn of the Planet of the Apes,Action,130,2014
198,Paterson,Comedy,118,2016
199,Perfetti sconosciuti,Comedy,97,2016
200,Kubo and the Two Strings,Animation,101,2016
201,Steve Jobs,Biography,122,2015
202,The Longest Ride,Drama,123,2015
203,The Walk,Adventure,123,2015
204,The Hundred-Foot Journey,Comedy,122,2014
205,The Rider,Drama,104,2017
206,Big Eyes,Biography,106,2014
207,Sing Street,Comedy,106,2016
208,A Monster Calls,Animation,108,2016
209,Colonia,Drama,106,2015
210,The Dressmaker,Comedy,119,2015
211,I Origins,Drama,106,2014
212,Beasts of No Nation,Drama,137,2015
213,God's Own Country,Drama,104,2017
214,Kraftidioten,Crime,116,2014
215,Elle,Crime,130,2016
216,Mommy,Drama,139,2014
217,Gong fu xiong mao 3,Animation,95,2016
218,The Judge,Crime,141,2014
219,The Fundamentals of Caring,Comedy,97,2016
220,Lucky,Comedy,88,2017
221,Indian Horse,Drama,101,2017
222,Lean on Pete,Adventure,121,2017
223,Suite Française,Drama,107,2014
224,The Infiltrator,Biography,127,2016
225,A Most Violent Year,Crime,125,2014
226,Megan Leavey,Biography,116,2017
227,A Street Cat Named Bob,Biography,103,2016
228,Still Alice,Drama,101,2014
229,Selma,Biography,128,2014
230,L'insulte,Drama,112,2017
231,A Girl Walks Home Alone at Night,Drama,101,2014
232,Au revoir là-haut,Crime,117,2017
233,Non-Stop,Action,106,2014
234,Demolition,Comedy,101,2015
235,Una Mujer Fantástica,Drama,104,2017
236,Nelyubov,Drama,127,2017
237,Mom,Crime,146,2017
238,Palmeras en la nieve,Drama,163,2015
239,Sheng zhi xing,Animation,130,2016
240,Le Petit Prince,Animation,108,2015
241,Suburra,Crime,130,2015
242,"McFarland, USA",Biography,129,2015
243,Far from the Madding Crowd,Drama,119,2015
244,Concussion,Biography,123,2015
245,The Man Who Knew Infinity,Biography,108,2015
246,Anomalisa,Animation,90,2015
247,Eddie the Eagle,Biography,106,2015
248,Michael Inside,Drama,96,2017
249,The Zookeeper's Wife,Biography,127,2017
250,Pride,Biography,119,2014
251,Branagh Theatre Live: Romeo and Juliet,Romance,165,2016
252,Love & Mercy,Biography,121,2014
253,Kamera o tomeru na!,Comedy,96,2017
254,20th Century Women,Comedy,119,2016
255,Testament of Youth,Biography,129,2014
256,The Siege of Jadotville,Action,108,2016
257,Miracles from Heaven,Biography,109,2016
258,Eye in the Sky,Drama,102,2015
259,The Water Diviner,Drama,111,2014
260,Trumbo,Biography,124,2015
261,Columbus,Drama,104,2017
262,Teströl és lélekröl,Drama,116,2017
263,Er ist wieder da,Comedy,116,2015
264,First They Killed My Father,Biography,136,2017
265,Holding the Man,Biography,127,2015
266,Journeyman,Drama,92,2017
267,Victoria,Crime,138,2015
268,The Man Who Invented Christmas,Biography,104,2017
269,45 Years,Drama,91,2015
270,Woman in Gold,Biography,109,2015
271,Hva vil folk si,Drama,106,2017
272,Kill the Messenger,Biography,112,2014
273,Dope,Comedy,103,2015
274,Maudie,Biography,115,2016
275,En man som heter Ove,Comedy,116,2015
276,Who Am I - Kein System ist sicher,Crime,102,2014
277,Bareilly Ki Barfi,Comedy,116,2017
278,Demain tout commence,Comedy,118,2016
279,Yip Man 3,Action,105,2015
280,The Breadwinner,Animation,94,2017
281,Fathers & Daughters,Drama,116,2015
282,La isla mínima,Crime,105,2014
283,Under sandet,Drama,100,2015
284,Pawn Sacrifice,Biography,115,2014
285,Ayla: The Daughter of War,Drama,125,2017
286,Loving,Biography,123,2016
287,Mr. Church,Comedy,104,2016
288,Flaskepost fra P,Drama,112,2016
289,Forushande,Drama,124,2016
290,"I, Daniel Blake",Drama,100,2016
291,Tuntematon sotilas,Drama,180,2017
292,Queen of Katwe,Biography,124,2016
293,Brigsby Bear,Comedy,97,2017
294,Dear Zindagi,Drama,151,2016
295,Perfectos desconocidos,Comedy,97,2017
296,Apostasy,Drama,95,2017
297,'71,Action,99,2014
298,Song of the Sea,Animation,93,2014
299,Kis Uykusu,Drama,196,2014
300,St. Vincent,Comedy,102,2014
301,The Little Death,Comedy,96,2014
302,Frank,Comedy,95,2014
303,The Place,Drama,105,2017
304,The One I Love,Drama,91,2014
305,Salyut-7,Action,111,2017
306,Leviafan,Crime,140,2014
307,Estiu 1993,Drama,97,2017
308,5 to 7,Comedy,95,2014
309,Toni Erdmann,Comedy,162,2016
310,Jusqu'à la garde,Drama,93,2017
311,Danny Collins,Biography,106,2015
312,Blue Jay,Drama,80,2016
313,Drishyam,Crime,163,2015
314,Tangerine,Comedy,88,2015
315,Shinubi,Animation,88,2015
316,Fasandræberne,Crime,119,2014
317,Gi-eok-ui bam,Mystery,108,2017
318,Calvary,Drama,102,2014
319,November,Drama,115,2017
320,Hector and the Search for Happiness,Adventure,120,2014
321,Foxtrot,Drama,108,2017
322,Newton,Drama,106,2017
323,Bitva za Sevastopol,Biography,110,2015
324,Kötü Kedi Serafettin,Animation,86,2016
325,Gantz: O,Animation,95,2016
326,Saul fia,Drama,107,2015
327,The Cakemaker,Drama,113,2017
328,Julieta,Drama,99,2016
329,The End of the Tour,Biography,106,2015
330,Twin Peaks: The Missing Pieces,Drama,91,2014
331,"Deux jours, une nuit",Drama,95,2014
332,Mustang,Drama,97,2015
333,Race,Biography,134,2016
334,Bahubali: The Beginning,Action,138,2015
335,The Good Lie,Biography,110,2014
336,Bajirao Mastani,Action,158,2015
337,Disney's Newsies the Broadway Musical,Musical,149,2017
338,120 battements par minute,Drama,143,2017
339,Handsome Devil,Comedy,95,2016
340,Qu'est-ce qu'on a fait au Bon Dieu?,Comedy,97,2014
341,Plemya,Crime,126,2014
342,Riphagen,Drama,131,2016
343,I'm Not Here,Drama,81,2017
344,Never Hike Alone,Horror,54,2017
345,Chalard games goeng,Comedy,130,2017
